,location_name,year,Average,cause_name,metric_name,val_y,upper,lower
5865,Somalia,1991,49.13419378415468,Mesothelioma,Number,2.8407350559714466,8.16484498303547,0.8316861529465
5866,Somalia,1991,49.13419378415468,Hodgkin lymphoma,Number,12.91209217250908,19.097125004460384,7.565365272120381
5867,Somalia,1991,49.13419378415468,Non-Hodgkin lymphoma,Number,15.861649363241687,25.03799331662309,9.37561295330914
5868,Somalia,1991,49.13419378415468,Multiple myeloma,Number,12.796812644936429,20.922912070712403,6.667684772385501
5869,Morocco,1996,242.61531408512306,Other neoplasms,Number,127.8231225802392,196.71743441481732,77.28742906655471
5870,Oman,1995,16.088829750251083,Nasopharynx cancer,Number,4.60300337985318,6.5666598012362565,2.9459467134040005
5871,Oman,1995,16.088829750251083,Other pharynx cancer,Number,1.078317753747825,1.56193380591917,0.6810937440418986
5872,Oman,1995,16.088829750251083,Gallbladder and biliary tract cancer,Number,2.607198031338788,3.636735935301021,1.7364308277707472
5873,Oman,1995,16.088829750251083,Pancreatic cancer,Number,4.232798531822035,6.126752834992994,2.769137799571481
5874,Algeria,1993,229.52022692381553,Non-melanoma skin cancer,Number,5.121807621868337,7.591335328650784,3.307678425311039
5875,Algeria,1993,229.52022692381553,Ovarian cancer,Number,118.10370889916828,174.16137470150554,73.96489851744573
5876,Algeria,1993,229.52022692381553,Testicular cancer,Number,36.37336699683317,86.12465200942546,12.6400849262125
5877,Algeria,1993,229.52022692381553,Kidney cancer,Number,98.23170378221396,144.0395987671352,64.1184670207245
5878,Algeria,1993,229.52022692381553,Bladder cancer,Number,222.4351589862288,313.10953562822925,143.05429565606062
5879,Algeria,1993,229.52022692381553,Brain and central nervous system cancer,Number,139.86061752940407,202.29508566396385,83.24494955326361
5880,Algeria,1993,229.52022692381553,Thyroid cancer,Number,214.2043407146426,340.2571872943809,126.1852668639182
5881,Algeria,1993,229.52022692381553,Mesothelioma,Number,3.303910367025508,6.951927086433543,1.4848696961272114
5882,Algeria,1993,229.52022692381553,Hodgkin lymphoma,Number,134.6939803972306,209.709363230427,77.23514789224888
5883,Algeria,1993,229.52022692381553,Non-Hodgkin lymphoma,Number,370.707698208704,574.9260938477508,212.18750085582496
5884,Algeria,1993,229.52022692381553,Multiple myeloma,Number,73.2851146882753,107.44061792139874,47.03641468190659
5885,Algeria,1993,229.52022692381553,Leukemia,Number,509.9535859260849,724.7587098513164,324.79111770091333
5886,Jordan,1996,42.20433660331919,Esophageal cancer,Number,6.327802949286722,8.90226722044872,4.177081649895875
5887,Somalia,1995,53.96234981305134,Esophageal cancer,Number,132.58232806030213,211.91849841966547,64.63185594382934
5888,Somalia,1995,53.96234981305134,Stomach cancer,Number,96.36673050002888,139.80619393232038,59.00789608376666
5889,Somalia,1995,53.96234981305134,Liver cancer,Number,25.991681376141912,48.315935203770486,14.159406064320263
5890,Algeria,1996,252.61898341900772,Other malignant neoplasms,Number,726.9089555757022,1028.8241593121704,482.1937687064561
5891,Somalia,1991,49.13419378415468,Leukemia,Number,205.88247506192383,358.9470877435421,95.07236593202344
5892,Somalia,1991,49.13419378415468,Other neoplasms,Number,4.494448858602945,7.330008323041223,2.3901752767468083
